1,2,3,4,5
31,35,26,34,23
45,51,36,49,33
59,67,46,64,44
74,83,56,79,54
75,86,59,79,55
77,89,62,80,57
79,92,65,81,59
81,94,68,81,61
83,97,71,82,63
